Kit Name,Kit Link,Kit Photo,forma_tur
2005-07 PSV Away Shirt (Excellent) L,https://www.classicfootballshirts.co.uk/2005-07-psv-away-shirt-good-s-908530.html,"https://images.classicfootballshirts.co.uk/pub/media/catalog/product/p/s/psv-05-away_8_3_1_1_1_1_1_1_1.jpg/tr:w-500,h-500,dpr-2,q-50,cm-pad_resize",EREDIVISIE_kits
2009-11 PSV Away Shirt (Excellent) L,https://www.classicfootballshirts.co.uk/2009-11-psv-away-shirt-excellent-l-906072.html,"https://images.classicfootballshirts.co.uk/pub/media/catalog/product/p/s/psv-09-away-xx-worn_1_1_1_1_3_3_2.jpg/tr:w-500,h-500,dpr-2,q-50,cm-pad_resize",EREDIVISIE_kits
1997-98 PSV Home Shirt (Very Good) L,https://www.classicfootballshirts.co.uk/1997-98-psv-home-shirt-very-good-l-962079.html,"https://images.classicfootballshirts.co.uk/pub/media/catalog/product/p/s/psv-97-home_1_2_2_2_1_1_2_1_2_1_1_1_2_1_2.jpg/tr:w-500,h-500,dpr-2,q-50,cm-pad_resize",EREDIVISIE_kits
1997-98 PSV Home Shirt (Excellent) L,https://www.classicfootballshirts.co.uk/1997-98-psv-home-shirt-excellent-l-905381.html,"https://images.classicfootballshirts.co.uk/pub/media/catalog/product/p/s/psv-97-home_1_2_2_2_1_1_2_1_2_1_1_1_2_1.jpg/tr:w-500,h-500,dpr-2,q-50,cm-pad_resize",EREDIVISIE_kits
2022-23 FC Twente Home Shirt *BNIB*,https://www.classicfootballshirts.co.uk/2020-21-fc-twente-home-shirt-bnib-937355.html,"https://images.classicfootballshirts.co.uk/pub/media/catalog/product/5/0/5010006167893_1.jpg/tr:w-500,h-500,dpr-2,q-50,cm-pad_resize",EREDIVISIE_kits
2010-11 Telstar Away Shirt (Excellent) L,https://www.classicfootballshirts.co.uk/2010-11-telstar-away-shirt-excellent-l.html,"https://images.classicfootballshirts.co.uk/pub/media/catalog/product/t/e/telstar-10-away-front.jpg/tr:w-500,h-500,dpr-2,q-50,cm-pad_resize",EREDIVISIE_kits
2003-04 Vitesse Home Shirt (Excellent) L,https://www.classicfootballshirts.co.uk/2003-04-vitesse-home-shirt-excellent-l-926617.html,"https://images.classicfootballshirts.co.uk/pub/media/catalog/product/v/i/vitesse-03-home.jpg/tr:w-500,h-500,dpr-2,q-50,cm-pad_resize",EREDIVISIE_kits
1992-94 PSV Home Shirt (Excellent) L,https://www.classicfootballshirts.co.uk/1992-94-psv-home-shirt-excellent-ll.html,"https://images.classicfootballshirts.co.uk/pub/media/catalog/product/p/s/psv-94-home.jpg/tr:w-500,h-500,dpr-2,q-50,cm-pad_resize",EREDIVISIE_kits
1992-94 PSV Home Shirt (Excellent) L,https://www.classicfootballshirts.co.uk/1992-94-psv-home-shirt-excellent-m-901314.html,"https://images.classicfootballshirts.co.uk/pub/media/catalog/product/p/s/psv-92-home_1_2_1_1_1_4.jpg/tr:w-500,h-500,dpr-2,q-50,cm-pad_resize",EREDIVISIE_kits
2001-02 PSV Away Shirt (Good) L,https://www.classicfootballshirts.co.uk/2001-02-psv-away-shirt-good-l.html,"https://images.classicfootballshirts.co.uk/pub/media/catalog/product/p/s/psv-01-away-use_5_2_2_1_1_1_3_3_3_2_2_2_1_1_1_2.jpg/tr:w-500,h-500,dpr-2,q-50,cm-pad_resize",EREDIVISIE_kits
1993-94 Ajax Home Shirt (Excellent) L,https://www.classicfootballshirts.co.uk/1993-94-ajax-home-shirt-excellent-l-957172.html,"https://images.classicfootballshirts.co.uk/pub/media/catalog/product/a/j/ajax-93-home_4_1_1_1_2_2_1_2_1.jpg/tr:w-500,h-500,dpr-2,q-50,cm-pad_resize",EREDIVISIE_kits
1993-94 Ajax Home Shirt (Very Good) L,https://www.classicfootballshirts.co.uk/1993-94-ajax-home-shirt-very-good-l.html,"https://images.classicfootballshirts.co.uk/pub/media/catalog/product/a/j/ajax-93-home_4_1_1_1_2_2_1_1.jpg/tr:w-500,h-500,dpr-2,q-50,cm-pad_resize",EREDIVISIE_kits
2020-21 FC Groningen Away Shirt *BNIB*,https://www.classicfootballshirts.co.uk/2020-21-fc-groningen-away-shirt-bnib-878864.html,"https://images.classicfootballshirts.co.uk/pub/media/catalog/product/g/r/groningen-20-away-tags.jpg/tr:w-500,h-500,dpr-2,q-50,cm-pad_resize",EREDIVISIE_kits
2021-22 TOP Oss Home Shirt *BNIB*,https://www.classicfootballshirts.co.uk/2021-22-top-oss-home-shirt-bnib-865090.html,"https://images.classicfootballshirts.co.uk/pub/media/catalog/product/t/o/top-oss-21-home-tags.jpg/tr:w-500,h-500,dpr-2,q-50,cm-pad_resize",EREDIVISIE_kits
2021-22 RKC Waalwijk Home Shirt *BNIB*,https://www.classicfootballshirts.co.uk/2021-22-rkc-waalwijk-home-shirt-bnib-865071.html,"https://images.classicfootballshirts.co.uk/pub/media/catalog/product/w/a/waalwijk-21-home-tags.jpg/tr:w-500,h-500,dpr-2,q-50,cm-pad_resize",EREDIVISIE_kits
2006-07 Heerenveen Away Shirt *w/Tags* L,https://www.classicfootballshirts.co.uk/2007-08-heerenveen-away-shirt-excellent-l-861342.html,"https://images.classicfootballshirts.co.uk/pub/media/catalog/product/h/e/heerenveen-06-away-tags.jpg/tr:w-500,h-500,dpr-2,q-50,cm-pad_resize",EREDIVISIE_kits
2020-21 Go Ahead Eagles Away Shirt *BNIB*,https://www.classicfootballshirts.co.uk/2020-21-go-ahead-eagles-away-shirt-bnib.html,"https://images.classicfootballshirts.co.uk/pub/media/catalog/product/g/o/go-ahead-eagles-20-away-tags.jpg/tr:w-500,h-500,dpr-2,q-50,cm-pad_resize",EREDIVISIE_kits
1999-01 PSV Player Issue Away Socks *BNIB* M,https://www.classicfootballshirts.co.uk/1999-01-psv-player-issue-away-socks-bnib-m.html,"https://images.classicfootballshirts.co.uk/pub/media/catalog/product/p/s/psv-99-socks-away-blk.jpg/tr:w-500,h-500,dpr-2,q-50,cm-pad_resize",EREDIVISIE_kits
2019-20 Real Betis Special Edition Retro Shirt *BNIB*,https://www.classicfootballshirts.co.uk/2019-20-real-betis-special-edition-retro-shirt-bnib-bet-base-grn-sbw-a06.html,"https://images.classicfootballshirts.co.uk/pub/media/catalog/product/8/0/8032963915949-1_vm9rm18y6ksgtsff.jpg/tr:w-500,h-500,dpr-2,q-50,cm-pad_resize",LaLiga_kits
2020-21 Real Betis Home Shorts *BNIB*,https://www.classicfootballshirts.co.uk/2020-21-real-betis-home-shorts-bnib-bet-shh-wte-4hw-a03.html,"https://images.classicfootballshirts.co.uk/pub/media/catalog/product/8/0/8033038870545-1_dslprygpjkl0wx37.jpg/tr:w-500,h-500,dpr-2,q-50,cm-pad_resize",LaLiga_kits
2002-03 Barcelona Home Shirt (Excellent) L,https://www.classicfootballshirts.co.uk/2002-03-barcelona-home-shirt-excellent-l.html,"https://images.classicfootballshirts.co.uk/pub/media/catalog/product/b/a/barcelona-02-home-use_15_3_1_2_1_2_1_1_1_1_1_1_2_1_1_1_1_3_1_1_1_1_2_1_1_3_1_1_1_1_1_1_1_2_3_2_2_2_2_1_2_2_1.jpg/tr:w-500,h-500,dpr-2,q-50,cm-pad_resize",LaLiga_kits
2021-22 Real Betis Away Shirt *BNIB*,https://www.classicfootballshirts.co.uk/2021-22-real-betis-away-shirt-bnib.html,"https://images.classicfootballshirts.co.uk/pub/media/catalog/product/b/e/betis-21-away-ns-patches-tags.jpg/tr:w-500,h-500,dpr-2,q-50,cm-pad_resize",LaLiga_kits
2015-16 Celta Vigo Home Shirt *w/Tags* L,https://www.classicfootballshirts.co.uk/2015-16-celta-vigo-home-shirt-w-tags-l.html,"https://images.classicfootballshirts.co.uk/pub/media/catalog/product/c/e/celta-vigo-15-home-tags.jpg/tr:w-500,h-500,dpr-2,q-50,cm-pad_resize",LaLiga_kits
1993-94 Tenerife Home Shirt (Excellent) L,https://www.classicfootballshirts.co.uk/1993-94-tenerife-home-shirt-excellent-l-946631.html,"https://images.classicfootballshirts.co.uk/pub/media/catalog/product/t/e/tenerife-93-home-alt_2.jpg/tr:w-500,h-500,dpr-2,q-50,cm-pad_resize",LaLiga_kits
2002-03 Espanyol Home Shirt (Excellent) L,https://www.classicfootballshirts.co.uk/2002-03-espanyol-home-shirt-excellent-l.html,"https://images.classicfootballshirts.co.uk/pub/media/catalog/product/e/s/espanyol-02-home-front.jpg/tr:w-500,h-500,dpr-2,q-50,cm-pad_resize",LaLiga_kits
1995-97 Real Zaragoza Away Shirt (Excellent) L,https://www.classicfootballshirts.co.uk/1995-97-real-zaragoza-away-shirt-excellent-l.html,"https://images.classicfootballshirts.co.uk/pub/media/catalog/product/r/e/real-zaragoza-95-away.jpg/tr:w-500,h-500,dpr-2,q-50,cm-pad_resize",LaLiga_kits
1999-00 Tenerife Home Shirt (Excellent) L,https://www.classicfootballshirts.co.uk/1999-00-tenerife-home-shirt-excellent-l-946579.html,"https://images.classicfootballshirts.co.uk/pub/media/catalog/product/t/e/tenerife-99-home_1_1_1_2_2_1_1_1_2.jpg/tr:w-500,h-500,dpr-2,q-50,cm-pad_resize",LaLiga_kits
1998-99 Malaga Home Shirt (Very Good) L,https://www.classicfootballshirts.co.uk/1998-99-malaga-home-shirt-very-good-l.html,"https://images.classicfootballshirts.co.uk/pub/media/catalog/product/m/a/malaga-98-home-mint_1_1_1.jpg/tr:w-500,h-500,dpr-2,q-50,cm-pad_resize",LaLiga_kits
1997-98 Real Madrid Away Shirt (Excellent) L,https://www.classicfootballshirts.co.uk/1997-98-real-madrid-away-shirt-excellent-l.html,"https://images.classicfootballshirts.co.uk/pub/media/catalog/product/r/e/real-madrid-97-away-new2_6_2_2_1_2_2_1_1_1.jpg/tr:w-500,h-500,dpr-2,q-50,cm-pad_resize",LaLiga_kits
1998-99 Athletic Bilbao Home Shirt (Good) L,https://www.classicfootballshirts.co.uk/1998-99-athletic-bilbao-home-shirt-good-l-940542.html,"https://images.classicfootballshirts.co.uk/pub/media/catalog/product/b/i/bilbao-98-home_3_2_1_3.jpg/tr:w-500,h-500,dpr-2,q-50,cm-pad_resize",LaLiga_kits
1993-94 Tenerife Home Shirt (Excellent) L,https://www.classicfootballshirts.co.uk/1993-94-tenerife-home-shirt-excellent-s-945975.html,"https://images.classicfootballshirts.co.uk/pub/media/catalog/product/t/e/tenerife-93-home_3.jpg/tr:w-500,h-500,dpr-2,q-50,cm-pad_resize",LaLiga_kits
2010-11 Real Sociedad Home Shirt (Excellent) L,https://www.classicfootballshirts.co.uk/2010-11-real-sociedad-home-shirt-excellent-l-963397.html,"https://images.classicfootballshirts.co.uk/pub/media/catalog/product/s/o/sociedad-10-home_3_1.jpg/tr:w-500,h-500,dpr-2,q-50,cm-pad_resize",LaLiga_kits
1998-99 Deportivo Away Shirt (Very Good) L,https://www.classicfootballshirts.co.uk/1998-99-deportivo-away-shirt-very-good-l-939405.html,"https://images.classicfootballshirts.co.uk/pub/media/catalog/product/d/e/deportivo-98-away_4_1_2_1_1_1_1_2.jpg/tr:w-500,h-500,dpr-2,q-50,cm-pad_resize",LaLiga_kits
2019-20 Villarreal Home Shirt *w/Tags* L,https://www.classicfootballshirts.co.uk/2019-20-villarreal-home-shirt-w-tags-l.html,"https://images.classicfootballshirts.co.uk/pub/media/catalog/product/v/i/villarreal-19-home-tags_4_1_1_2_2_1.jpg/tr:w-500,h-500,dpr-2,q-50,cm-pad_resize",LaLiga_kits
1996-98 Sevilla Away Shirt (Excellent) L,https://www.classicfootballshirts.co.uk/1996-98-sevilla-away-shirt-excellent-l.html,"https://images.classicfootballshirts.co.uk/pub/media/catalog/product/s/e/sevilla-96-away_3.jpg/tr:w-500,h-500,dpr-2,q-50,cm-pad_resize",LaLiga_kits
1996-97 Tenerife Home Shirt (Excellent) L,https://www.classicfootballshirts.co.uk/1996-97-tenerife-home-shirt-excellent-l-924394.html,"https://images.classicfootballshirts.co.uk/pub/media/catalog/product/t/e/tenerife-96-home-shirt_1_1.jpg/tr:w-500,h-500,dpr-2,q-50,cm-pad_resize",LaLiga_kits
2019-20 Celta Vigo Home Shirt *BNIB*,https://www.classicfootballshirts.co.uk/2019-20-celta-vigo-home-shirt-bnib-848509.html,"https://images.classicfootballshirts.co.uk/pub/media/catalog/product/c/e/celta-vigo-19-home-tags_2.jpg/tr:w-500,h-500,dpr-2,q-50,cm-pad_resize",LaLiga_kits
2013-14 Valencia Away Shirt *w/Tags* L,https://www.classicfootballshirts.co.uk/2013-14-valencia-away-shirt-w-tags-l.html,"https://images.classicfootballshirts.co.uk/pub/media/catalog/product/v/a/valencia-13-away-tags_3.jpg/tr:w-500,h-500,dpr-2,q-50,cm-pad_resize",LaLiga_kits
2003-04 Atletico Madrid Home Shirt (Very Good) L,https://www.classicfootballshirts.co.uk/2003-04-atletico-madrid-home-shirt-very-good-l-946549.html,"https://images.classicfootballshirts.co.uk/pub/media/catalog/product/a/t/atletico-03-home-ns_7_1_1_1_1_2_1_4_1_2_1_1_1.jpg/tr:w-500,h-500,dpr-2,q-50,cm-pad_resize",LaLiga_kits
2003-04 Atletico Madrid Home Shirt (Excellent) L,https://www.classicfootballshirts.co.uk/2003-04-atletico-madrid-home-shirt-excellent-l-960698.html,"https://images.classicfootballshirts.co.uk/pub/media/catalog/product/a/t/atletico-03-home-ns_7_1_1_1_1_2_1_4_1_2_1_1_1_1.jpg/tr:w-500,h-500,dpr-2,q-50,cm-pad_resize",LaLiga_kits
2013-14 Celta Vigo Away Shirt *w/Tags*,https://www.classicfootballshirts.co.uk/2013-14-celta-vigo-away-shirt-w-tags.html,"https://images.classicfootballshirts.co.uk/pub/media/catalog/product/c/e/celta-13-away-sp-tags.jpg/tr:w-500,h-500,dpr-2,q-50,cm-pad_resize",LaLiga_kits
2004-05 Real Madrid Home Shirt (Excellent) L,https://www.classicfootballshirts.co.uk/2004-05-real-madrid-home-shirt-excellent-l-953099.html,"https://images.classicfootballshirts.co.uk/pub/media/catalog/product/r/e/real-madrid-04-home_11_1_2_1_1_1_1_1_3_1_1_2_2_1_1_1_2_1_1_1_1_1_1_1_1_1.jpg/tr:w-500,h-500,dpr-2,q-50,cm-pad_resize",LaLiga_kits
2004-05 Real Madrid Home Shirt (Excellent) L,https://www.classicfootballshirts.co.uk/2004-05-real-madrid-home-shirt-excellent-l-960729.html,"https://images.classicfootballshirts.co.uk/pub/media/catalog/product/r/e/real-madrid-04-home_11_1_2_1_1_1_1_1_3_1_1_2_2_1_1_1_2_1_1_1_1_1_1_1_1_1_1.jpg/tr:w-500,h-500,dpr-2,q-50,cm-pad_resize",LaLiga_kits
2002-03 Malaga Away Shirt (Very Good) L,https://www.classicfootballshirts.co.uk/2002-03-malaga-away-shirt-very-good-xl-899511.html,"https://images.classicfootballshirts.co.uk/pub/media/catalog/product/m/a/malaga-02-away-front_2_2.jpg/tr:w-500,h-500,dpr-2,q-50,cm-pad_resize",LaLiga_kits
2004-05 Atletico Madrid Home Shirt *BNIB*,https://www.classicfootballshirts.co.uk/2004-05-atletico-madrid-home-shirt-bnib-atm-h04-ns-red-wte-633-601.html,"https://images.classicfootballshirts.co.uk/pub/media/catalog/product/9/1/91207468151-1_wmvfibh0dcmzwpjo.jpg/tr:w-500,h-500,dpr-2,q-50,cm-pad_resize",LaLiga_kits
2018-19 Alaves Away Shirt *w/Tags*,https://www.classicfootballshirts.co.uk/2018-19-alaves-away-shirt-w-tags-941157.html,"https://images.classicfootballshirts.co.uk/pub/media/catalog/product/a/l/alaves-18-away-tags.jpg/tr:w-500,h-500,dpr-2,q-50,cm-pad_resize",LaLiga_kits
1999-01 Athletic Bilbao Player Issue Home Shirt (Excellent) L,https://www.classicfootballshirts.co.uk/1999-01-athletic-bilbao-player-issue-home-shirt-excellent-l.html,"https://images.classicfootballshirts.co.uk/pub/media/catalog/product/b/i/bilbao-99-home-pi_2.jpg/tr:w-500,h-500,dpr-2,q-50,cm-pad_resize",LaLiga_kits
2000-01 Valencia Away Shirt (Excellent) L,https://www.classicfootballshirts.co.uk/2000-01-valencia-away-shirt-excellent-l-939241.html,"https://images.classicfootballshirts.co.uk/pub/media/catalog/product/v/a/valencia-00-away-use_8_1_2_2_2_1_3.jpg/tr:w-500,h-500,dpr-2,q-50,cm-pad_resize",LaLiga_kits
2000-01 Valencia Away Shirt (Excellent) L,https://www.classicfootballshirts.co.uk/2000-01-valencia-away-shirt-excellent-l.html,"https://images.classicfootballshirts.co.uk/pub/media/catalog/product/v/a/valencia-00-away-use_8_1_2_2_2_1_3_2.jpg/tr:w-500,h-500,dpr-2,q-50,cm-pad_resize",LaLiga_kits
2007-08 Deportivo Away Shirt (Very Good) L,https://www.classicfootballshirts.co.uk/2007-08-deportivo-away-shirt-very-good-l.html,"https://images.classicfootballshirts.co.uk/pub/media/catalog/product/d/e/deportivo-07-away_7_1_1_2_1.jpg/tr:w-500,h-500,dpr-2,q-50,cm-pad_resize",LaLiga_kits
1998-2001 Alaves Home Shirt (Excellent) L,https://www.classicfootballshirts.co.uk/1998-2001-alaves-home-shirt-excellent-l.html,"https://images.classicfootballshirts.co.uk/pub/media/catalog/product/a/l/alaves-99-home.jpg/tr:w-500,h-500,dpr-2,q-50,cm-pad_resize",LaLiga_kits
